Iteration	Xl	Xu	Xr	Relative Apporximate Error
1	-6.200000	-2.800000	-4.500000
2	-4.500000	-2.800000	-3.650000	23.2876712
3	-3.650000	-2.800000	-3.225000	13.1782946
4	-3.650000	-3.225000	-3.437500	6.1818182
5	-3.437500	-3.225000	-3.331250	3.1894934
6	-3.437500	-3.331250	-3.384375	1.5697138
7	-3.384375	-3.331250	-3.357812	0.7910656
8	-3.357812	-3.331250	-3.344531	0.3971035
9	-3.357812	-3.344531	-3.351172	0.1981583
10	-3.351172	-3.344531	-3.347852	0.0991774
11	-3.351172	-3.347852	-3.349512	0.0495641
12	-3.351172	-3.349512	-3.350342	0.0247759
13	-3.351172	-3.350342	-3.350757	0.0123864
14	-3.351172	-3.350757	-3.350964	0.0061928
15	-3.351172	-3.350964	-3.351068	0.0030963
16	-3.351172	-3.351068	-3.351120	0.0015481
17	-3.351120	-3.351068	-3.351094	0.0007741
18	-3.351094	-3.351068	-3.351081	0.0003870
19	-3.351094	-3.351081	-3.351088	0.0001935
20	-3.351094	-3.351088	-3.351091	0.0000968
21	-3.351094	-3.351091	-3.351092	0.0000484
22	-3.351094	-3.351092	-3.351093	0.0000242
23	-3.351094	-3.351093	-3.351094	0.0000121
24	-3.351094	-3.351093	-3.351093	0.0000060
25	-3.351093	-3.351093	-3.351093	0.0000030
26	-3.351093	-3.351093	-3.351093	0.0000015
27	-3.351093	-3.351093	-3.351093	0.0000008
