x	F(x)
-1.00	-1.442592
-0.90	-1.865858
-0.80	-2.176289
-0.70	-2.410398
-0.60	-2.589518
-0.50	-2.726849
-0.40	-2.830883
-0.30	-2.907199
-0.20	-2.959458
-0.10	-2.989967
-0.00	-3.000000
0.10	-2.989967
0.20	-2.959458
0.30	-2.907199
0.40	-2.830883
0.50	-2.726849
0.60	-2.589518
0.70	-2.410398
0.80	-2.176289
0.90	-1.865858
1.00	-1.442592
1.10	-0.838764
1.20	0.086582
1.30	1.682733
1.40	5.117037
1.50	18.152130
1.60	-57.772052
1.70	-16.084224
1.80	-10.715271
1.90	-8.561485
2.00	-7.370080
2.10	-6.590678
2.20	-6.022411
2.30	-5.574191
2.40	-5.198434
2.50	-4.867556
2.60	-4.564151
2.70	-4.276365
2.80	-3.995484
2.90	-3.714576
3.00	-3.427640
3.10	-3.129012
3.20	-2.812884
3.30	-2.472839
3.40	-2.101323
3.50	-1.688950
3.60	-1.223520
3.70	-0.688488
3.80	-0.060487
3.90	0.694956
4.00	1.631285
